id,name,action,accessible,radar_key,hours,notes,sources
poi-stonehouse-toilets,Public Toilets (High Street Stonehouse),NEW,yes,yes,"Daily: 7am-5pm","Stroud DC block ~900m from trail at Ryeford; only council toilet on that leg.","https://www.stroud.gov.uk/community-and-living/public-toilets/"
poi-dursley-wmrg-toilets,Public Toilets (War Memorial Recreation Ground),NEW,yes (Changing Place),unknown,"Not yet published","Opened late 2025; Kingshill Road Dursley. Hours unverified — new facility.","https://www.dursleytowncouncil.gov.uk/news/2025/07/war-memorial-recreation-ground-pavilion-project-update"
poi-dyrham-park-toilets,Toilets (Dyrham Park Visitor Reception),NEW,yes,unknown,"Daily: 10am-5pm","NT visitor facility; admission applies for non-members.","https://nt.global.ssl.fastly.net/binaries/content/assets/website/national/regions/bath-bristol/places/dyrham-park/pdf/20230214_dyrham-access-statement_v31.pdf"
poi-parade-gardens-toilets,Public Toilets (Parade Gardens),NEW,yes,no,"Daily: 7am-4pm","Grand Parade ~150m from Abbey. 20p contactless.","https://www.bathnes.gov.uk/find-public-toilet"
poi-southgate-toilets,Public Toilets (Southgate),NEW,yes,no,"Mon-Sat: 9am-6pm; Sun: 11am-5pm","Free; Southgate plaza ~350m S of Abbey.","https://www.bathnes.gov.uk/sites/default/files/Public_toilets_in_bath_flyer_updated_NOV%202023_.pdf"
poi-bath-bus-station-toilets,Public Toilets (Bath Bus Station),NEW,yes,no,"Daily: 9am-8pm (from 10am Sun)","Free; Dorchester Street by ticket office.","https://www.bathnes.gov.uk/sites/default/files/Public_toilets_in_bath_flyer_updated_NOV%202023_.pdf"
poi-henrietta-park-toilets,Public Toilets (Henrietta Park),NEW,yes,no,"Daily: 7am-4pm","Entrance off Henrietta Mews; 20p contactless.","https://www.bathnes.gov.uk/find-public-toilet"
poi-sydney-gardens-toilets,Public Toilets (Sydney Gardens),NEW,yes (Changing Place),no,"Daily: 7am-4pm","Nearest Changing Place to trail finish; entrance code from Healthmatic 01249 823143.","https://www.bathnes.gov.uk/find-public-toilet"
,,,,,,,
SKIPPED (for CWA review),,,,,,,
Hailes Abbey visitor toilets,,not added,yes,,"First weekend of month only; pre-booked tickets","Effectively unavailable to walkers — not a dependable stop.","https://www.english-heritage.org.uk/visit/places/hailes-abbey/prices-and-opening-times/"
St Mary's Street Painswick,,not added — CONFLICTING,,,,"Parish council says facility exists; toiletmap marked removed 2018 ('now an art gallery'). Needs ground check.","https://www.painswick-pc.gov.uk/access-for-disabled-people; https://www.toiletmap.org.uk/loos/670b3a16825301b069ccb87d"
Clock Tower Chipping Sodbury,,not added,yes,,"Daily 9am-4pm","3.5km off trail — outside corridor.","https://www.sodburytowncouncil.gov.uk/town-council-services/public-toilets/"
The Podium Bath,,not added,unknown,,,"Accessibility and hours unverified.","https://www.bathnes.gov.uk/sites/default/files/Public_toilets_in_bath_flyer_updated_NOV%202023_.pdf"
Bath Spa station toilets,,not added,yes,,,"Single source (OSM) — fails two-source rule.","https://www.openstreetmap.org/node/845940472"
NEGATIVE SWEEPS: no public toilets exist in,"Stanton, Stanway, Wood Stanway, Prestbury, Seven Springs, Birdlip, Barrow Wake, Cranham, Edge, Haresfield Beacon, Ryeford, Ebley, King's Stanley, Selsley, Nympsfield, North Nibley, Alderley, Hawkesbury Upton, Horton, Old Sodbury, Tormarton, Cold Ashton, Weston (Bath)",,,,,"Each checked against council lists, toiletmap.org.uk and/or OSM this session",
