id,name,source,distance_mi,difficulty,access_grade,grade_mapping_basis,start_coord_method,geometry,official_url
route-walk-10-wotton-wortley,Walk 10: Wotton-under-Edge and Wortley Hill,National Trail,5.0,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-10-wotton-under-edge/
route-walk-11-old-sodbury,Walk 11: Old Sodbury — The Hillfort and Church,National Trail,2.5,easy,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-11-old-sodbury-hillfort-and-church/
route-walk-12-journeys-end-bath,Walk 12: Journey's End — The Walk into Bath,National Trail,6.0,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-12-journeys-end-walk-bath/
route-walk-13-korea-friendship,Walk 13: Stinchcombe Hill — Korea Friendship Trail,National Trail,3.5,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-cotswolds-korea-friendship-trail/
route-walk-14-bruce-trail-haresfield,Walk 14: Haresfield — Bruce Trail Friendship Trail,National Trail,6.0,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/bruce-trail-friendship-trail-beacons-commons-and-woods/
route-walk-15-hailes-beckbury,Walk 15: Hailes Abbey and Beckbury Camp,National Trail,3.5,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-15-hailes-and-beckbury-camp/
route-walk-16-stinchcombe-leaf-ground,Walk 16: Stinchcombe Hill — Leaf & Ground,National Trail,2.7,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walks-16-stinchcombe-hill-leaf-ground/
route-gateways-winchcombe-isbourne,Winchcombe to the source of the River Isbourne,Cotswolds National Landscape (via National Trail),6.0,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/winchcombe-to-the-source-of-the-river-isbourne/
route-gateways-winchcombe-farmcote,"Winchcombe, Hailes Abbey and Farmcote",Cotswolds National Landscape (via National Trail),7.5,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/winchombe-hailes-abbey-and-farmcote-7-5-miles/
route-gateways-dursley-western-loop,Dursley Figure of Eight — Western Loop,Cotswolds National Landscape (via National Trail),8.0,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-gateways-dursley-figure-of-eight-western-loop-8-miles/
route-gateways-wotton-tyndale,"Wotton-under-Edge: Brackenbury Ditches, Tyndale Monument and Westridge Woods",Cotswolds National Landscape (via National Trail),4.9,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/wotton-under-edge-via-brackenbury-ditches-tyndale-monument-westridge-woods-4-9-miles/
route-gateways-wotton-newark,"Wotton-under-Edge via Tyley Bottom, Ozleworth and Newark Park",Cotswolds National Landscape (via National Trail),7.5,challenging,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/wotton-under-edge-via-tyley-bottom-ozleworth-and-newark-park/
route-gateways-wotton-wortley-tor,"Wotton-under-Edge via Wortley, Tor Hill, Combe Hill and Wotton Hill",Cotswolds National Landscape (via National Trail),6.2,challenging,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/wotton-under-edge-via-wortley-tor-hill-combe-hill-and-wotton-hill/
route-gateways-hawkesbury-kilcott,Hawkesbury Upton and Kilcott,Cotswolds National Landscape (via National Trail),4.0,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-gateways-circular-walk-hawkesbury-upton-via-kilcott-4-miles/
route-gateways-hawkesbury-st-mary,Hawkesbury Upton via the Church of St Mary the Virgin,Cotswolds National Landscape (via National Trail),3.75,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/hawkesbury-upton-via-the-church-of-st-mary-the-virgin-3-75-miles/
route-gateways-marshfield-dyrham,"Marshfield, Cold Ashton, Doynton, Dyrham and West Littleton",Cotswolds National Landscape (via National Trail),11.0,challenging,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/marshfield-cold-ashton-doynton-dyrham-and-west-littleton-11-miles/
route-winchcombe-miles-without-stiles,Winchcombe — Miles without Stiles,Cotswolds National Landscape,3.5,easy,for-some,"Unsurfaced paths, basic fitness. Stile free — these routes do not have stiles, but may have kissing ",,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/winchcombe-miles-without-stiles/
route-winchcombe-sudeley-valley-mws,Winchcombe and the Sudeley Valley — Miles without Stiles,Cotswolds National Landscape,5.0,moderate,for-some,"May be steep slopes, moderate fitness. Stile free — may have kissing gates or footbridges, and/or st",,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/winchcombe-and-the-sudeley-valley-miles-without-stiles/
route-winchcombe-ultimate-wow,Winchcombe's 'Ultimate' Walk on Wheels,Cotswolds National Landscape,8.5,moderate,for-many,"The route is on grass, field edges, stone and tarmac with long slopes to and from the Salt Way. Desi",,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/winchcombes-ultimate-walk-on-wheels-circular/
route-broadway-village-mws,Broadway Village — Miles without Stiles,Cotswolds National Landscape,2.25,easy,for-some,"Unsurfaced paths, basic fitness. Stile free — may have kissing gates or footbridges, and/or steep, n",,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/broadway-village-miles-without-stiles/
route-laverton-buckland-wow,Laverton to Buckland — Walks on Wheels,Cotswolds National Landscape,1.75,easy,for-all,"An easy there and back path of 1.6 miles on stone and tarmac with very gentle ascent and descent, su",,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/laverton-to-buckland-walks-on-wheels/
route-dovers-hill-wow,Dover's Hill — Walks on Wheels,Cotswolds National Landscape,1.2,easy,for-all,Grassy level walk 0.25 miles suitable for all; extra loop has steep slopes. The surface is mostly gr,,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/dovers-hill-walks-on-wheels/
route-crickley-hill-wow,Crickley Hill — Walks on Wheels,Cotswolds National Landscape,0.5,easy,for-many,"The surface is tarmac, crushed stone, short grass and earth. Rated pushchair friendly; short but une",,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/crickley-hill-walks-on-wheels/
route-leckhampton-scooter-wow,Leckhampton Hill mobility scooter route,Cotswolds National Landscape,2.25,easy,for-many,A mix of hard or grassy and mostly flat surface accessible by any reasonably sturdy mobility scooter,,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/leckhampton-hill-mobility-scooter-route/
route-leckhampton-charlton-kings-mws,Leckhampton Hill and Charlton Kings Common — Miles without Stiles,Cotswolds National Landscape,2.5,moderate,for-some,"May be steep slopes, moderate fitness. Stile free. Warning from the publisher: the steep path is now",,official GPX,https://www.cotswolds-nl.org.uk/exploring/self-guided-route/leckhampton-hill-charlton-kings-common-miles-without-stiles/
route-cleeve-common-south-wow,Cleeve Common South — Walks on Wheels,Cotswolds National Landscape,1.25,easy,for-many,"The 600 metre route is almost level, while the longer routes cross uneven ground with several slopes",,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/cleeve-common-south-walks-on-wheels/
route-painswick-beacon-mws,Painswick Beacon — Miles without Stiles,Cotswolds National Landscape,2.0,moderate,for-some,"May be steep slopes, moderate fitness. Stile free — may have kissing gates or footbridges, and/or st",,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/painswick-beacon-miles-without-stiles/
route-kings-stanley-ebley-mws,King's Stanley to Ebley Mill — Miles without Stiles,Cotswolds National Landscape,3.5,easy,for-some,"Unsurfaced paths, basic fitness. Stile free — these routes do not have stiles, but may have kissing ",,start pin only (no official GPX published),https://www.cotswolds-nl.org.uk/exploring/self-guided-route/kings-stanley-to-ebley-mill-miles-without-stiles/

"GRADE MAPPING RULE (mechanical, publisher wording always displayed verbatim)"
for-all: publisher explicitly states wheelchair friendly / suitable for all (wheels)
for-many: publisher rates for mobility scooters/trampers/pushchairs but not wheelchairs
"for-some: publisher grades stile-free only (Miles without Stiles default, with caveats)"
null/ungraded: no accessibility publication exists for the route

START COORD METHODS: verified POI/toilet-audit coords; ONS postcode centroids (postcodes.io); OSGB grid refs published on route pages (converted); Nominatim for named streets; Walk 14 pin = Haresfield Beacon marker (Shortwood car park not geocodable from official sources - flagged)

EXCLUDED (off-corridor per ~1-mile rule),Mickleton MWS,Ebrington MWS,Amberley WOW (also publisher states not suitable for wheelchairs),Badminton x3,Marshfield town MWS,Bathscape 13/15/16,Brockhampton/Sevenhampton MWS,Andoversford MWS

KEY NEGATIVE FINDING,"No official body certifies any Cotswold Way section as wheelchair-accessible; National Trail states the trail 'is not stile free'. Accessible-sections tab reflects exactly what IS published (Leckhampton improved section + scooter route, Crickley Tramper hire)."

RE-VERIFY BEFORE CWA HANDOFF,Dover's Hill and Dyrham NT access wording came via search-indexed pages (NT site behind bot protection this session)
