id,name,siteType,nhle,access,lat,lng,primary_source
poi-lansdown-battlefield,Battle of Lansdown (1643),civil-war,1000017,Open access,51.43923,-2.39866,https://historicengland.org.uk/listing/the-list/list-entry/1000017
poi-grenville-monument-hist,Sir Bevil Grenville's Monument,civil-war,1015110,Open access,51.43142,-2.40143,https://historicengland.org.uk/listing/the-list/list-entry/1015110
poi-little-down-camp,"Little Down Camp, Lansdown",prehistoric,1004677,Open access,51.41817,-2.42008,https://historicengland.org.uk/listing/the-list/list-entry/1004677
poi-kelston-round-hill-hist,Kelston Round Hill,prehistoric,,Visible from trail — summit private,51.40569,-2.41789,see scratchpad findings (no NHLE entry — flagged)
poi-roman-baths,Roman Baths,roman,1394021,Paid attraction,51.38095,-2.35949,https://historicengland.org.uk/listing/the-list/list-entry/1394021
poi-bath-abbey-hist,Bath Abbey,medieval,1394015,Paid attraction — services free,51.38142,-2.35879,https://historicengland.org.uk/listing/the-list/list-entry/1394015

EXCLUDED after verification,,,,,,,
Dryhill Roman villa (1004848),"Private land, nothing visible, no modern NHLE description — low walker value",,,,,,
St Kenelm's Well (1340263),"1887 structure, 1.5-2km off trail",,,,,,
Spoonley Wood Roman villa,"2km+ off route, not visible",,,,,,
Tormarton village earthworks,No NHLE scheduling found — unverified,,,,,,
Tormarton Bronze Age spear burial,"Find-site only, nothing visible, finds in Bristol Museum",,,,,,
Cold Ashton Manor (1220865),"Post-medieval (c.1629), private, no Civil War content in NHLE entry",,,,,,
Lansdown camp Charlcombe (1002482),Legacy NHLE entry with no description — flagged for CWA,,,,,,
"Near-miss barrows (Crippets 1017040/1017041, Lineover 1018166, West Tump 1016078, etc.)",Scheduled but >800m off route or private — kept in reserve list,,,,,,
